    PRKAB1	    CDX2	CCDC88A
PDM-2(S)	0.000156	0.000217	0.014445596479077
PDM-4(S)	0.00205	0.00023	0.012982442025092
PDM-50(S)	0.000159	0.000216	0.015627484249304
PDM-255(S)	4.86E-05	1.88E-05	0.012725788913497
PDM-275(S)	0.0015	0.000226	0.012802206856241
PDM-1(I)	0.0232	0.00859	0.000750231356988
PDM-279(S)	0.000135	0.000229	0.011399644440074
PDM-185(R)	0.0243	0.00933	0.012768096807684
PDM-191(S)	0.000249	0.000222	0.018356414174495
PDM-9(S)	0.000245	0.00019	0.015169314576756
PDM-264 (S)	0.00187	0.000147	0.017041509399541
PDM-94(R)	0.0271	0.0111	0.000338684811722
PDM-356(S)	0.000116	0.000156	0.014240425594376
PDM-7(R)	0.0106	0.00941	0.000329052828142
PDM-257(R)	0.0089	0.00832	0.000750231356988
PDM-363(R)	0.0429	0.00878	9.52881492388616E-05
PDM-276(I)	0.000639	0.000965	0.013590378244869
PDM-277(R)	0.0147	0.00899	0.011088859075095
PDM-359(R)	0.0119	0.00922	0.000119630974862
PDM-5(S)	0.00227	0.000209	0.01320814085003
PDM-103(R)	0.00813	0.0205	0.000610925125385
PDM-8(S)	0.000306	0.000106	0.016960913192821
PDM-95(S)	0.000132	0.000219	0.021696033406472
