    PRKAB1	CDX2	KRT20	CCDC88A	ALCAM	PTK7
C1	1.54E-04	8.36E-06	6.92E-04	2.28E-02	9.28E-03	2.35E-03
C2	3.81E-03	1.55E-05	5.60E-04	2.25E-02	3.77E-02	2.35E-03
C3	1.26E-04	9.96E-06	6.87E-04	2.66E-02	9.28E-03	1.90E-02
C4	5.42E-04	6.96E-06	6.62E-04	6.65E-03	6.08E-02	2.03E-02
C5	2.02E-04	1.36E-05	9.71E-04	5.75E-03	1.52E-02	3.66E-03
C6	5.35E-04	8.19E-06	7.46E-04	3.98E-03	1.63E-02	3.66E-03
PF 1	1.09E-02	4.81E-04	4.75E-03	4.53E-04	4.41E-04	2.20E-05
PF 2	1.05E-02	4.01E-04	5.25E-03	5.43E-04	5.02E-05	8.79E-05
PF 3	3.01E-02	3.18E-04	4.49E-03	2.02E-05	1.48E-04	6.65E-07
PF 4	4.28E-01	7.64E-04	4.40E-03	3.77E-05	3.74E-04	4.42E-06
PF 5	5.38E-02	8.98E-04	5.42E-03	3.22E-04	3.53E-05	2.16E-05
PF 6	3.69E-01	1.12E-03	5.28E-03	4.21E-04	6.69E-05	2.16E-05
PF 7	1.83E-02	7.86E-04	4.38E-02	3.33E-04	2.64E-05	8.74E-05
PF 8	7.97E-02	6.20E-04	2.18E-02	1.89E-04	5.86E-05	6.51E-04
