    PRKAB1	CDX2	KRT20	GIV	ALCAM	PTK7
PDM2	5.76E-05	2.01E-06	3.13E-05	0.013038	0.011665	0.028169
PDM5	8.09E-05	0.000153	0.000116	0.011575	0.023685	0.028685
PDM50	0.000668	0.000217	5.48E-05	0.018318	0.00885	0.009448
PDM95	0.00042	0.000126	7.25E-05	0.011064	0.010722	0.011417
PDM191	0.000135	0.00049	7.86E-05	0.015843	0.034501	0.025122
PDM255	0.000115	9.84E-05	2.02E-05	0.009069	0.021929	0.029062
PDM2	0.010664	0.009173	0.002819	0.000146	0.000536	0.000196
PDM5	0.017589	0.008264	0.002936	0.000286	1.47E-05	7.41E-05
PDM50	0.024815	0.062344	0.003639	4.9E-05	0.000254	0.000168
PDM95	0.037301	0.005094	0.003147	0.000248	1.13E-05	6.9E-05
PDM191	0.005812	0.008196	0.001323	0.000315	1.08E-05	3.11E-05
PDM255	0.013214	0.009043	0.001929	0.000364	5.74E-05	8.18E-05
PDM185	0.010594	0.002887	0.000297	0.031588	0.002098	0.009392
PDM257	0.005553	0.004203	0.000312	0.01229	0.001768	0.012262
PDM277	0.011812	0.002665	0.00161	0.04276	0.001188	0.045118
PDM359	0.012149	0.011083	0.000336	0.010542	0.002707	0.011752
PDM363	0.011025	0.007044	0.000308	0.020601	0.000518	0.009827
PDM185	0.032298	0.011833	0.000294	0.030587	0.002376	0.008362
PDM257	0.005584	0.00409	0.000323	0.010162	0.001304	0.010005
PDM277	0.021728	0.009517	0.00128	0.027701	0.000763	0.035354
PDM359	0.013108	0.008216	0.000311	0.012756	0.002074	0.01137
PDM363	0.040652	0.03845	0.000217	0.014464	0.000653	0.011374
H14	0.007266	0.019226	0.000857005	5.81E-05	0.000104	0.000199
H17	0.022165	0.009888	0.000937598	0.000366	0.000129	6.36E-05
H20	0.021776	0.002405	0.001132	0.012831	0.000867	0.049734
H14	0.007605	0.015766	0.000615799	7.47E-05	0.00012	0.000224
H17	0.017104	0.006207	0.000732689	0.000259	9.92E-05	5.21E-05
H20	0.050986	0.008129	0.001128	0.012783	1.19E-05	0.052258
